station_id,station_name,lat,lon,active,components
MP576,576 Klosterstraße,52.531168,13.196681,False,[]
MP579,579 Eichborndamm,52.570201,13.312675,False,[]
MP581,581 Markgrafendamm,52.498316,13.465107,False,[]
MP545,545 Sonnenallee,52.484198,13.434745,False,[]
MP584,584 Karl-Marx-Straße,52.483807,13.429663,False,[]
MP525,525 Leipziger Straße,52.510353,13.391199,False,[]
MP528,528 Kantstraße,52.506495,13.307969,False,[]
MP530,530 Hauptstraße,52.481322,13.347563,False,[]
MP533,533 Hermannstraße,52.465687,13.432207,False,[]
mc114,114 Charlottenburg- Wilmersdorf,52.51156,13.291328,False,[]
MP601,601 Brückenstraße,52.511551,13.416664,False,[]
MP602,602 Kaiser-Friedrich-Straße,52.508995,13.301758,False,[]
MP603,603 Leonorenstraße,52.437182,13.344875,False,[]
MP604,604 Martin-Luther-Straße,52.482213,13.344723,False,[]
MP605,605 Stromstraße,52.527168,13.343116,False,[]
MP606,606 Birkenstraße,52.531465,13.34431,False,[]
MP607,607 Rheinhardtstraße,52.522316,13.378365,False,[]
MP608,608 Oranienstraße,52.502822,13.413412,False,[]
MP609,609 Elsenstraße,52.489451,13.454782,False,[]
MP610,610 Erkstraße,52.481379,13.43916,False,[]
MP611,611 Friedrichstraße,52.518372,13.388503,False,[]
MP612,612 Torstraße,52.529468,13.399832,False,[]
MP613,613 Leipziger Straße,52.509801,13.382363,False,[]
MP622,622 Mariendorfer Damm,52.447407,13.385297,False,[]
MP623,623 Saarstraße,52.468345,13.33396,False,[]
MP624,624 Mehringdamm,52.492189,13.387104,False,[]
MP625,625 Martin-Luther-Straße,52.498165,13.345856,False,[]
MP626,626 Spiegelweg,52.508143,13.284462,False,[]
MP627,627 Danziger Straße,52.540833,13.413163,False,[]
MP630,630 Schönholzer Straße,52.570254,13.399336,False,[]
MP631,631 Breite Straße,52.569141,13.402166,False,[]
MP632,632 Residenzstraße,52.56931,13.361241,False,[]
MP633,633 Kapweg,52.562183,13.331806,False,[]
MP634,634 Müllerstraße,52.548852,13.354526,False,[]
